Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"67","2016","April    ","Spring","Erie","ER1611","E060M16","ER60","8","41.892017","-83.196267","2016/04/03 21:22","GMT","2","Surface","surface water","INSITU_MEAS","field duplicate","16GE20D61","P-ortho as P","Phosphorus, Orthophosphorus as P","4.27","ug/l","Filtrate","LG215","","","","","","","","",
"68","2016","April    ","Spring","Erie","ER1611","E032M16","ER32","21.4","42.082233","-81.012033","2016/04/06 03:47","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE20I12","P-ortho as P","Phosphorus, Orthophosphorus as P","1.03","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"69","2016","April    ","Spring","Erie","ER1611","E058M16","ER58","7.2","41.6844","-82.933067","2016/04/04 00:10","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE20I32","P-ortho as P","Phosphorus, Orthophosphorus as P","0.787","ug/l","Filtrate","LG215","","","","","","","","",
"70","2016","April    ","Spring","Erie","ER1611","E059M16","ER59","8.1","41.725783","-83.150183","2016/04/03 22:39","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE20I52","P-ortho as P","Phosphorus, Orthophosphorus as P","1.93","ug/l","Filtrate","LG215","","","","","","","","",
"71","2016","April    ","Spring","Erie","ER1611","E060M16","ER60","8","41.892017","-83.196267","2016/04/03 21:22","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE20I72","P-ortho as P","Phosphorus, Orthophosphorus as P","3.06","ug/l","Filtrate","LG215","","","","","","","","",
"72","2016","April    ","Spring","Erie","ER1611","E061M16","ER61","9.1","41.946533","-83.044167","2016/04/03 19:43","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE20I92","P-ortho as P","Phosphorus, Orthophosphorus as P","1.12","ug/l","Filtrate","LG215","","","","","","","","",
"73","2016","April    ","Spring","Erie","ER1611","E032M16","ER32","21.4","42.082233","-81.012033","2016/04/06 03:47","GMT","","Synthetic Sample","surface water","INSITU_MEAS","field blank","16GE20R00","P-ortho as P","Phosphorus, Orthophosphorus as P","0.248","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"74","2016","April    ","Spring","Erie","ER1611","E032M16","ER32","21.4","42.082233","-81.012033","2016/04/06 03:47","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE20S01","P-ortho as P","Phosphorus, Orthophosphorus as P","0.892","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"75","2016","April    ","Spring","Erie","ER1611","E032M16","ER32","21.4","42.082233","-81.012033","2016/04/06 03:47","GMT","11.4","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE20S03","P-ortho as P","Phosphorus, Orthophosphorus as P","0.764","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"76","2016","April    ","Spring","Erie","ER1611","E032M16","ER32","21.4","42.082233","-81.012033","2016/04/06 03:47","GMT","21.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE20S11","P-ortho as P","Phosphorus, Orthophosphorus as P","0.531","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"77","2016","April    ","Spring","Erie","ER1611","E058M16","ER58","7.2","41.6844","-82.933067","2016/04/04 00:10","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE20S21","P-ortho as P","Phosphorus, Orthophosphorus as P","0.9","ug/l","Filtrate","LG215","","","","","","","","",
"78","2016","April    ","Spring","Erie","ER1611","E058M16","ER58","7.2","41.6844","-82.933067","2016/04/04 00:10","GMT","5","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE20S23","P-ortho as P","Phosphorus, Orthophosphorus as P","0.745","ug/l","Filtrate","LG215","","","","","","","","",
"79","2016","April    ","Spring","Erie","ER1611","E058M16","ER58","7.2","41.6844","-82.933067","2016/04/04 00:10","GMT","8.7","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE20S31","P-ortho as P","Phosphorus, Orthophosphorus as P","0.895","ug/l","Filtrate","LG215","","","","","","","","",
