Row,YEAR,MONTH,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"79","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","1.9","Surface","surface water","Individual","routine field sample","10GA12S01","O2diss","Oxygen, Dissolved","-3.64137","mg/l","Total/Bulk","LG301","",
"80","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","5","Five Meter","surface water","Individual","routine field sample","10GA12S02","O2diss","Oxygen, Dissolved","-3.64321","mg/l","Total/Bulk","LG301","",
"81","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","10.2","Ten Meter","surface water","Individual","routine field sample","10GA12S03","O2diss","Oxygen, Dissolved","-3.64593","mg/l","Total/Bulk","LG301","",
"82","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","20.1","Twenty Meter","surface water","Individual","routine field sample","10GA12S04","O2diss","Oxygen, Dissolved","-3.65062","mg/l","Total/Bulk","LG301","",
"83","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","29.9","Thirty Meter","surface water","Individual","routine field sample","10GA12S05","O2diss","Oxygen, Dissolved","-3.65702","mg/l","Total/Bulk","LG301","",
"84","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","40","Forty Meter","surface water","Individual","routine field sample","10GA12S06","O2diss","Oxygen, Dissolved","-3.66172","mg/l","Total/Bulk","LG301","",
"85","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","49.9","Fifty Meter","surface water","Individual","routine field sample","10GA12S07","O2diss","Oxygen, Dissolved","-3.66688","mg/l","Total/Bulk","LG301","",
"86","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","100.1","One Hundred Meter","surface water","Individual","routine field sample","10GA12S08","O2diss","Oxygen, Dissolved","-3.69162","mg/l","Total/Bulk","LG301","",
"87","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","199.9","Two Hundred Meter","surface water","Individual","routine field sample","10GA12S09","O2diss","Oxygen, Dissolved","-3.73892","mg/l","Total/Bulk","LG301","",
"88","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","249","Bottom Minus 10","surface water","Individual","routine field sample","10GA12S10","O2diss","Oxygen, Dissolved","-3.76206","mg/l","Total/Bulk","LG301","",
"89","2010","April    ","Michigan","MI1011","M041M10","MI41M","265.6","44.736683","-86.72175","2010/04/03 06:50","EDT","257","Bottom Minus","surface water","Individual","routine field sample","10GA12S11","O2diss","Oxygen, Dissolved","-3.76565","mg/l","Total/Bulk","LG301","",
"90","2010","April    ","Michigan","MI1011","M047M10","MI47","195.6","45.177283","-86.374867","2010/04/03 22:30","EDT","2","Surface","surface water","Individual","routine field sample","10GA12S21","O2diss","Oxygen, Dissolved","-3.6767","mg/l","Total/Bulk","LG301","",
