-17.07,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.046666667,,,,,,,,,,,,,,2.5869999999999997,,,,,,,,,,,,,,1.8453333333333302,,,,,,
-16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4869999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.76,,,,,,,,,,1.8,,,,,,,,,,0.4,,,2.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.712,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,,,,,,,,,,,,,
-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.247,,,,,,,,,,6.9239999999999995,,4.304,,1.8239999999999998,,3.7866666666666697,,1.3733333333333302,,4.946666666666665,
-16.46,,,,,,13.7,,,,,,,,1.45,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9933333329999999,,,,,,,,,,,,,,,,,,8.07,,2.407,,,,,,,,,,,,,,,
-16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2866666669999995,,,,,,,,,,,,,,,,,,,
-16.15,,,,,,2.1,,,,,,,2.1,,,2.425,,3.3,1.655,,,2.035,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.673,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8500000000000001,,1.114838425,1.769032774,,,1.42,,0.17,,,1.45335,,,2.827,,7.4670000000000005,,,2.353,,,,,,,,,,,,,,,,,,,,
-15.85,,,,,,3.8,,,,,,,,2.1,0.7,,1.32,2.51,,0.42000000000000004,1.8,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.54,,,,,,,,,,1.135,,,,,1.7,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.24,,,,,,,,,1.0,1.8,,,3.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162685851,,1.446666667,1.27,0.4,,,,,0.6910000000000001,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,
-14.975,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.94,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.63,,,,,,,,,,1.4,,,2.0,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59466666666667,,,,,,,,
-14.478,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.33,,,,,,,,,,,,,,,,,,7.35,,0.27,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.325,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.02,,,,,,1.6,,,,,,,,,1.7000000000000002,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237697842,,,0.87,,,,,,,2.2835,,,,,,2.18,,,,,,,,,,,,,,,,,,,,
-13.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,
-13.72,,,,,,,,,,,,,,,1.5,,,4.83,,0.36,,3.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.41,,,,,,,,,,1.2,,,1.35,,1.9,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.075999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,1.96665,,,,,,,,,,,,,,,,,,2.736,,,,,,,,,,
-12.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61066666666667,,,,,,,,
-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94666666666667
-12.5,,,,,,,,,,,,,,,,,1.73,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.752,,,,,,,,,,,,
-12.19,,,,,,,,,,,,,,,,,1.6749999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.469,,,,,,,,,,
-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,2.5869999999999997,,,,,,,,,,,,,,,,,,,,,,2.60666666666667,,1.6933333333333302,,4.47333333333333
-11.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.89,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.58,,,,,,,,,,,,,2.4000000000000004,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.28,,,,,,,,1.0,,,,,,,,,,,,0.32,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04533333333333,,,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.232,,,,,,,,,,,,
-10.97,,,,,,,,,,,,,,,1.5,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.539,,,,,,,,,,
-10.67,,1.8,,,,0.6,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,,,,,,,,,
-10.36,,,,,,,,,,,0.7,,,,1.5,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61066666666667,,,,,,,,
-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,3.54,1.81,,,,,,,,,0.8,,1.3866666666666698,,,,,
-10.06,1.9000000000000001,1.975,,2.7,0.3,5.4,1.3,,0.4,1.6,,0.95,,1.15,,1.45,,5.73,,,2.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,0.45386368,1.2189448445,,1.2777777776666666,,0.36,1.03,,,,0.328,,2.2576666666666667,1.6669999999999998,4.033,,1.367,,0.534,,,,1.98,4.1850000000000005,2.928,2.299,2.26,,1.4080000000000001,3.6319999999999997,,,,3.473333333333333,0.806666666666667,1.5866666666666651,2.78,
-9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,2.176,,,,,,,,,,
-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666696,,,,,,
-9.75,,,2.1,,0.6,,,,0.2,,1.2,1.25,4.6,1.6,1.6,,1.39,,2.78,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.45,,,,,,,,,,2.4,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,2.2824999999999998,,,,,,,,,,,,3.98
-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,
-9.14,,,,,,,,,,1.2,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,2.093,,1.713,,,,2.41,,,,3.74,,,,,,,,1.776,,,,,,3.476666666666665
-8.53,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3730000000000002,,,,,,,,,,,,,,,,1.376,,,,,,3.39333333333333
-8.23,,,,,,,,,,1.5499999999999998,,,,,1.8,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,
-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6289999999999996,,,,,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5930000000000002,,,,,,,,,,,,,,,,,,3.52666666666667,,,,
-7.9479999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.92,,,,,,,,,,0.8,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,,,,1.24,,2.147,,,,,,,,,,,,,,2.416,,,,,,
-7.62,,1.4,,,,,,,,0.7,,,2.1333333333333333,,1.9,,,6.14,,0.46,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3133333333333304
-7.32,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.0360000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.01,,,,,,2.6,,,,,,,2.1,,1.7,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4733,,2.4765,,1.64,,,,1.960333333333333,,,,,,,,2.64,,,,3.696,,,,,,,,
-6.997000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,1.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5267,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,
-6.492000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.4510000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.4,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.1,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.021,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.153,,,,,,,,,,,,,,,,,,,,,,2.78,,,,
-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,
-5.49,,,,,,,,,,,,,,,,,1.99,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7893333333333303,,,,,,,,
-5.18,,,,,,,,,,,1.1,1.4,,,,,1.53,6.78,,0.315,2.3,2.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6273333329999999,,,,,,,,,,,,,,1.253,,,,3.35,,2.5869999999999997,,,,2.447,,,,,,,,,,,
-5.006,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.46973110500000004,1.29083133475,,,,0.42,1.05,,5.32,1.3267,0.3365,,2.3065,2.693,3.88,,0.893,,0.656666667,,,1.7,,,2.795,,,,,,0.768,,,,0.7133333333333329,,2.86666666666667,3.78
-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,1.5786666666666698,,,,1.49333333333333,,,,,
-4.88,,2.4,2.0,2.55,0.6499999999999999,2.3,1.7999999999999998,0.8,0.225,1.4,0.6,1.1,2.9,1.1666666666666667,1.92,0.93,,6.226,2.295,0.24,1.5,1.27,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,
-4.57,,1.75,,,,,,,,,,,,,,,2.34,,,0.53,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.27,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73333333333333,,
-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986666666666667,,,,,
-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94666666666667,,,,,
-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4466666666666699,,,,,
-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0866666666666664,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.073,,,,,,,,,,,,,,1.8346666666666698,,,,,,
-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,
-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3930000000000002,,,,,,,,,,4.619999999999999,,,,,,,,,1.26666666666667,,,1.866666666666667,,3.44
-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9450000000000001,,,,,,,,,,,,,,,,,,,4.23,,,,,,,1.8666666666666698,,,,,,,
-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93333333333333,,,,,,,,
-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,3.312,,2.632,,,,1.8066666666666698,,
-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6386666670000003,1.525,,,,,,,,,,,,,,,1.7233333333333336,,,2.3266666666666698
-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,1.52525,,1.7930000000000001,2.326666667,,,,,,5.104,1.9253333333333333,4.372333333333334,2.3716666666666666,2.071999999999999,3.7066666666666697,,,,,0.88,,4.661333333333332,3.55
-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.747,,,,1.347,1.45,0.653333333,,,,,,5.2,2.155,2.213,2.0909999999999997,,3.568,0.784,,,,0.9066666666666671,,,
-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39984215,,,,,,,,,,,,,,,,,2.0469999999999997,,,,2.04,,,3.093,,,,,,1.19466666666667,,,3.07,,,,
-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,1.87,,1.99,,,,,,,,,0.869333333333333,,,,,,,
-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,0.773,,,2.37,,2.01,,,,,,,,,,1.8186666666666698,,,,,,
-1.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.7466666670000001,,,,,,,,,,,,2.577,,1.3735,,,,10.33,,1.5906,,,,,,,,,,,,,,,
-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3869999999999998,,,,,,,,,,,,,,,,,3.35333333333333,,,,
-1.3630000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.22,,,,,,,,,,,,,,,,,,6.734999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4806613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1666666666666696,,,,
-1.126,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,0.50967002,1.27832933675,0.632,1.0933333335,,0.3425,,2.61,4.279,1.2311333333333334,0.49870000000000003,1.9130000000000003,2.9458750000000005,2.21325,4.3035,,,,,,,,,,,,,,,,,,,,,,,
-0.981,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9590000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.91,2.0999999999999996,1.4333333333333336,2.6,2.9000000000000004,0.625,2.55,1.5999999999999999,0.75,0.44375000000000003,1.3124999999999998,0.75875,1.67375,2.3625000000000003,1.6083333333333334,1.7999999999999998,1.5925,1.3960000000000001,4.829999999999999,1.89375,0.39,2.1374999999999997,2.9725,1.0750000000000002,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.893,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.868,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,0.0,0.033641489999999996,0.9874078340000001,0.032933332999999995,0.042866667000000004,0.02513,0.0,0.05,2.352,3.4202,1.321,0.3206,0.002,2.4585,1.5114,2.6186666666666665,1.1666,1.2613333333333334,1.5924,1.5813599998,1.583374,4.043333333333333,,1.439,3.246,3.8034,2.14,3.1066,1.4733333333333334,3.072,0.0207466666666667,0.0302933333333333,1.78133333333333,0.0191333333333333,0.0156,0.00633333333333333,,0.0285333333333333,0.0118
