YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2010,2010,2011,2011,2012,2012
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.36,,,,,,,,,,7.8,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.06,,8.466666666666667,13.2,8.8,13.0,9.0,7.4,,13.2,,14.0,,,8.8,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.75,,,13.4,,13.2,,,8.0,13.3,8.9,,8.1,,,13.6,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.45,,,,,,9.8,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.14,,,,,,,,,,,,8.6,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.53,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.23,,,,,,8.95,,,,8.5,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.92,,,,,,8.8,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.62,,8.9,,,,9.1,,8.700000000000001,,9.0,,,,8.5,,8.9,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.32,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.01,,,,10.1,,,,9.5,,7.7,,8.2,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.4,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.1,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.49,,,,,,,,,,,,8.6,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
