Date,code,"Silica, mg/L"
2013-03-14,0,6.57
2013-03-15,0,5.97
2013-03-16,0,3.85
2013-03-17,0,4.95
2013-03-18,0,3.606666666666667
2013-03-19,0,3.66
2013-03-20,0,3.32
2013-03-21,0,3.25
2013-03-22,0,3.17
2013-03-23,0,2.81
2013-03-24,0,2.35
2013-03-25,0,2.1833333333333336
2013-03-26,0,1.69
2013-03-27,0,1.91
2013-03-28,0,2.76
2013-03-29,0,3.91
2013-03-30,0,3.38
2013-03-31,0,2.37
2013-04-01,0,1.6766666666666665
2013-04-02,0,0.88
2013-04-03,0,1.13
2013-04-04,0,0.56
2013-04-05,0,3.03
2013-04-06,0,2.96
2013-04-07,0,3.11
2013-04-08,0,1.7599999999999998
2013-04-09,0,1.02
2013-04-10,0,1.5699999999999998
2013-04-11,0,4.476666666666667
2013-04-12,0,6.853333333333333
2013-04-13,0,7.023333333333333
2013-04-14,0,7.59
2013-04-15,0,7.4399999999999995
2013-04-22,0,4.64
2013-04-23,0,3.13
2013-04-24,0,3.0949999999999998
2013-04-25,0,5.056666666666667
2013-04-26,0,6.325
2013-04-27,0,5.97
2013-04-28,0,4.4
2013-04-29,0,4.3225
2013-04-30,0,5.896666666666667
2013-05-01,0,5.845000000000001
2013-05-02,0,4.58
2013-05-03,0,3.86
2013-05-04,0,3.15
2013-05-05,0,2.29
2013-05-06,0,1.7566666666666666
2013-05-07,0,1.13
2013-05-08,0,1.28
2013-05-09,0,1.07
2013-05-10,0,2.72
2013-05-11,0,2.99
2013-05-12,0,2.26
2013-05-13,0,2.3633333333333337
2013-05-14,0,1.61
2013-05-15,0,1.68
2013-05-16,0,1.44
2013-05-17,0,2.05
2013-05-18,0,2.2
2013-05-19,0,1.77
2013-05-20,0,1.6600000000000001
2013-05-21,0,0.33
2013-05-22,0,0.54
2013-05-25,0,0.29
2013-05-26,0,0.14
2013-05-27,0,0.07
2013-05-28,0,2.2
2013-05-29,0,1.74
2013-05-30,0,1.13
2013-05-31,0,0.6
2013-06-01,0,0.85
2013-06-02,0,2.5650000000000004
2013-06-03,0,6.595000000000001
2013-06-04,0,6.57
2013-06-05,0,3.35
2013-06-06,0,2.24
2013-06-10,0,0.5
2013-06-17,0,6.69
2013-06-18,0,6.11
2013-06-19,0,5.48
2013-06-20,0,5.09
2013-06-21,0,4.32
2013-06-22,0,3.78
2013-06-23,0,3.635
2013-06-24,0,6.263333333333333
2013-06-25,0,8.5
2013-06-26,0,8.4
2013-06-27,0,7.61
2013-06-28,0,7.71
2013-06-29,0,6.96
2013-06-30,0,8.22
2013-07-01,0,7.740000000000001
2013-07-02,0,8.35
2013-07-03,0,6.416666666666667
2013-07-04,0,7.89
2013-07-05,0,9.535
2013-07-06,0,9.84
2013-07-07,0,10.35
2013-07-08,0,10.040000000000001
2013-07-09,0,8.393333333333333
2013-07-10,0,7.466666666666668
2013-07-11,0,8.026666666666666
2013-07-12,0,7.785
2013-07-13,0,9.69
2013-07-14,0,10.46
2013-07-15,0,10.53
2013-07-16,0,10.07
2013-07-17,0,10.04
2013-07-18,0,9.45
2013-07-19,0,8.97
2013-07-20,0,6.283333333333334
2013-07-21,0,6.766666666666667
2013-07-22,0,9.0875
2013-07-23,0,9.04
2013-07-24,0,10.235
2013-07-25,0,10.39
2013-07-26,0,10.52
2013-07-27,0,9.75
2013-07-28,0,9.09
2013-07-29,0,7.946666666666666
2013-07-30,0,6.42
2013-07-31,0,6.23
2013-08-01,0,4.28
2013-08-02,0,3.56
2013-08-03,0,4.42
2013-08-04,0,7.406666666666666
2013-08-05,0,8.885
2013-08-06,0,9.015
2013-08-07,0,4.8
2013-08-08,0,7.4
2013-08-09,0,7.25
2013-08-10,0,7.9333333333333345
2013-08-11,0,7.965
2013-08-12,0,7.37
2013-08-13,0,7.49
