Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type,Depth,Depth Units,Sample Time
,,,,,,Total Nitrate + Nitrite                       ,4.8,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Dissolved Solids,460,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Magnesium,26.5,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Turbidity                               ,22,NTU           ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Conductivity (Lab),715,umhos/cm      ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Hardness Ca2CO3,318,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Alkalinity,246,mg CaCO3/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Calcium,83.5,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.076,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Sodium,16.4,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Sulfate,60,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Conductivity (Field),580,umhos/cm,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Calcium,63.7,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,380,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Organic Carbon,16,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Potassium,4.4,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Conductivity (Lab),577,umhos/cm,WCMP,5/17/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,242,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total pH (Field),7.5,pH,WCMP,5/17/2007,Actual,,,
,,,,,,Total pH (Lab),8.09,pH,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Alkalinity,177,mg CaCO3/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Ammonia,0.11,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.71,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.3,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Sodium,12.2,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Sulfate,45,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Turbidity,130,NTU,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Nitrate,3.7,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.044,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.2,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Temperature of Water,14.1,C,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Magnesium,20,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Nitrite,0.06,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Suspended Solids,150,mg/L,WCMP,5/17/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.005,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Conductivity (Field),677,umhos/cm,WCMP,5/16/2006,Actual,,,
,,,,,,Total Conductivity (Lab),687,umhos/cm,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Nitrite,0.057,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Organic Carbon,13,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Hardness Ca2CO3,300,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Temperature of Water,15.2,C,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Calcium,79.3,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.15,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Magnesium,24.7,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Nitrate,4,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Potassium,4.1,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Sodium,20.7,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Suspended Solids,20,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.7,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,5/16/2006,Actual,,,
,,,,,,Total pH (Lab),8.2,pH,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Alkalinity,204,mg CaCO3/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Phosphorus,0.074,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Total Sulfate,59,mg/L,WCMP,5/16/2006,Actual,,,
,,,,,,Total Turbidity,14,NTU,WCMP,5/16/2006,Actual,,,
,,,,,,Total Hardness Ca2CO3,360,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total pH (Lab),8.43,pH            ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Chloride                                ,50,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Organic Carbon,9.2,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.008,mg P/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Sulfate,78,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Conductivity (Field),730,umhos/cm      ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.4,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Temperature of Water,11.9,° C           ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Calcium,93,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.71,mg N/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Nitrate,0.98,mg N/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.034,mg P/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Conductivity (Lab),744,umhos/cm      ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.987,mg N/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total pH (Field),8.5,pH            ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Magnesium,31,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Nitrite,0.006,mg N/L        ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Sodium,27,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Total Suspended Solids,6,mg/L          ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Turbidity,7.98,NTU           ,WCMP,4/9/2012,Actual,,,
,,,,,,Total Conductivity (Field),710,umhos/cm,WCMP,4/3/2007,Actual,,,
,,,,,,Total Conductivity (Lab),718,umhos/cm,WCMP,4/3/2007,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,470,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Magnesium,26.6,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.016,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Potassium,3.3,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Sulfate,72,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,316,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total pH (Lab),8.24,pH,WCMP,4/3/2007,Actual,,,
,,,,,,Total Temperature of Water,10.9,C,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.75,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Organic Carbon,12,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.066,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Turbidity,20,NTU,WCMP,4/3/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.9,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Suspended Solids,17,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Alkalinity,242,mg CaCO3/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Calcium,82.8,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Nitrate,2.9,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Nitrite,0.016,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Total Sodium,17.3,mg/L,WCMP,4/3/2007,Actual,,,
,,,,,,Total Conductivity (Lab),759,umhos/cm,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Alkalinity,260,mg CaCO3/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Ammonia,0.014,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Suspended Solids,12,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Turbidity,13,NTU,WCMP,4/24/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,337,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Temperature of Water,13.7,C,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,490,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.93,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Nitrate,1.94,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.002,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.053,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Potassium,4.4,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Sulfate,80,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total pH (Lab),8.48,pH,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Calcium,86.1,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Magnesium,29.6,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Nitrite,0.027,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Organic Carbon,11,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Total Sodium,28.5,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total Conductivity (Field),771,umhos/cm,WCMP,4/24/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.5,mg/L,WCMP,4/24/2007,Actual,,,
,,,,,,Total pH (Field),8.1,pH,WCMP,4/24/2007,Actual,,,
,,,,,,Total pH (Field),7.9,pH,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Calcium,73.9,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Magnesium,22.7,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Nitrite,0.022,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Organic Carbon,13,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.023,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Potassium,3.6,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Suspended Solids,15,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Conductivity (Lab),654,umhos/cm,WCMP,4/18/2008,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.6,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Alkalinity,180,mg CaCO3/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Nitrate,4.6,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Sulfate,62,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Conductivity (Field),636,umhos/cm,WCMP,4/18/2008,Actual,,,
,,,,,,Total Hardness Ca2CO3,278,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total pH (Lab),8.12,pH,WCMP,4/18/2008,Actual,,,
,,,,,,Total Temperature of Water,12.1,C,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Dissolved Solids,430,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.06,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Phosphorus,0.076,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Sodium,15.5,mg/L,WCMP,4/18/2008,Actual,,,
,,,,,,Total Turbidity,19,NTU,WCMP,4/18/2008,Actual,,,
,,,,,,Total Total Calcium,81.1,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Magnesium,24.8,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Organic Carbon,10,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Turbidity,12,NTU,WCMP,4/14/2009,Actual,,,
,,,,,,Total Conductivity (Lab),669,umhos/cm,WCMP,4/14/2009,Actual,,,
,,,,,,Total Hardness Ca2CO3,305,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Alkalinity,226,mg CaCO3/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.75,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Nitrite,0.013,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.015,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Sulfate,63,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Suspended Solids,4,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),11.4,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total pH (Field),8.1,pH,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Dissolved Solids,430,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Nitrate,3,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Sodium,15.4,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Conductivity (Field),673,umhos/cm,WCMP,4/14/2009,Actual,,,
,,,,,,Total pH (Lab),8.24,pH,WCMP,4/14/2009,Actual,,,
,,,,,,Total Temperature of Water,7.1,C,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Phosphorus,0.035,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L,WCMP,4/14/2009,Actual,,,
,,,,,,Total Conductivity (Field),649,umhos/cm,WCMP,4/1/2013,Actual,,,
,,,,,,Total Nitrate + Nitrite,3.9128,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total pH (Lab),8.02,pH,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Sulfate,81.70573,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Turbidity,11.1,NTU,WCMP,4/1/2013,Actual,,,
,,,,,,Total Conductivity (Lab),676,umhos/cm,WCMP,4/1/2013,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),11.3,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Ammonia,0.022985,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Dissolved Solids,364,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.012422,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Suspended Solids,6,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Calcium,81,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Phosphorus,0.0462,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Sodium,16,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Chloride,40.63858,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Temperature of Water,2,° C,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Alkalinity,181.6601,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.8333,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Magnesium,23,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Nitrite,0.015448,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Organic Carbon,9.5,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L,WCMP,4/1/2013,Actual,,,
,,,,,,Total Total Alkalinity,160,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.36,mg N/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Magnesium,23,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Nitrite,0.026,mg N/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Sulfate,52,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Chloride                                ,33,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,292,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,6.28,mg N/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total pH (Field),8.3,pH            ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Ammonia,0.07,mg N/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Calcium,79,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Organic Carbon,11,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.117,mg P/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Conductivity (Field),573,umhos/cm      ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Conductivity (Lab),587,umhos/cm      ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),14.3,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total pH (Lab),7.96,pH            ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Temperature of Water,1.4,° C           ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,380,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Nitrate,6.25,mg N/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.051,mg P/L        ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Potassium,5,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Sodium,12,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Total Suspended Solids,21,mg/L          ,WCMP,3/6/2012,Actual,,,
,,,,,,Total Turbidity,53.7,NTU           ,WCMP,3/6/2012,Actual,,,
,,,,,,Total pH (Field),8.3,pH            ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Temperature of Water,1.6,° C           ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Alkalinity,180,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Nitrate,5.36,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Sulfate,42,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Hardness Ca2CO3,300,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Calcium,84.5,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Nitrite,0.023,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Sodium,15.9,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Suspended Solids,23,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Chloride                                ,42,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),14.9,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Magnesium,21.5,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Organic Carbon,9.4,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.06,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Turbidity                               ,18,NTU           ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Conductivity (Field),647,umhos/cm      ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Conductivity (Lab),666,umhos/cm      ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,5.38,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total pH (Lab),8.23,pH            ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Ammonia,0.099,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Dissolved Solids,430,mg/L          ,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.08,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.027,mg/L,WCMP,3/29/2011,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,2.17,mg N/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Organic Carbon,11,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.06,mg P/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Sulfate,70,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Conductivity (Field),811,umhos/cm      ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,354,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total pH (Lab),8.29,pH            ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.97,mg N/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.015,mg P/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Chloride                                ,43,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Conductivity (Lab),735,umhos/cm      ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Temperature of Water,11.2,° C           ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Alkalinity,250,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Calcium,94,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Nitrate,2.15,mg N/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Nitrite,0.024,mg N/L        ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Turbidity,13,NTU           ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),10.7,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total pH (Field),8.4,pH            ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Magnesium,29,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Sodium,21,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Total Suspended Solids,11,mg/L          ,WCMP,3/27/2012,Actual,,,
,,,,,,Total Conductivity (Lab),329,umhos/cm,WCMP,3/15/2007,Actual,,,
,,,,,,Total pH (Lab),7.72,pH,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Ammonia,0.13,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.32,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Magnesium,10.6,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Nitrate,2.8,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Sodium,5.8,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Turbidity,97,NTU,WCMP,3/15/2007,Actual,,,
,,,,,,Total Conductivity (Field),326,umhos/cm,WCMP,3/15/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),12.9,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,143,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Calcium,39.6,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,210,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Nitrite,0.027,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Organic Carbon,11,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Suspended Solids,150,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total pH (Field),8.3,pH,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Alkalinity,87,mg CaCO3/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.057,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Sulfate,22,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Temperature of Water,2.8,C,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.28,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Total Potassium,5.3,mg/L,WCMP,3/15/2007,Actual,,,
,,,,,,Total Conductivity (Field),275,umhos/cm,WCMP,3/14/2006,Actual,,,
,,,,,,Total Hardness Ca2CO3,122,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Magnesium,9.5,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Organic Carbon,10,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Sulfate,22,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Temperature of Water,4.5,C,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Nitrate,2.8,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Sodium,3.9,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Suspended Solids,410,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Turbidity,360,NTU,WCMP,3/14/2006,Actual,,,
,,,,,,Total Conductivity (Lab),281,umhos/cm,WCMP,3/14/2006,Actual,,,
,,,,,,Total pH (Field),7.5,pH,WCMP,3/14/2006,Actual,,,
