Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Phosphorus, orthophosphate as P,0.101,mg/l,WCTMP,6/14/2005
,,,,,,Total Sodium,108,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Chloride,199,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Hardness, carbonate,251,mg/l,WCTMP,6/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,1.49,mg/l,WCTMP,6/14/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,35,mg/l,WCTMP,6/14/2005
,,,,,,Total Zinc,10.8,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Dissolved Dissolved Solids,690,mg/l,WCTMP,6/14/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,163,mg/l,WCTMP,6/14/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,6/14/2005
,,,,,,Total Cadmium,0.043,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Calcium,68,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Magnesium,19.7,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.25,mg/l,WCTMP,6/14/2005
,,,,,,Total Nitrogen, Kjeldahl,1.18,mg/l,WCTMP,6/14/2005
,,,,,,Total Potassium,5.6,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Specific conductance,1057,umho/cm,WCTMP,6/14/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),8.8,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),13,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Turbidity,13,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),163,mg/l,WCTMP,6/14/2005
,,,,,,Total Chromium,0.759,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Copper,8.03,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Mercury in Water,2.51,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nickel,4.47,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.38,mg/l,WCTMP,6/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.106,mg/l,WCTMP,6/14/2005
,,,,,,Total pH,7.85,,WCTMP,6/14/2005,Actual
,,,,,,Total Conductivity (Field),1030,umhos/cm,WCMP,6/11/2007,Actual
,,,,,,Total Conductivity (Lab),999,umhos/cm,WCMP,6/11/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),6.9,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Alkalinity,210,mg CaCO3/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Ammonia,0.124,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Nitrate,1.86,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Nitrite,0.061,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Hardness Ca2CO3,280,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Magnesium,23.4,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Organic Carbon,5.9,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Sodium,94.4,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Suspended Solids,13,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Temperature of Water,21.8,C,WCMP,6/11/2007,Actual
,,,,,,Total Total Calcium,73.5,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.88,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.069,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Potassium,4.4,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Turbidity,9.3,NTU,WCMP,6/11/2007,Actual
,,,,,,Total pH (Field),8,pH,WCMP,6/11/2007,Actual
,,,,,,Total pH (Lab),8.04,pH,WCMP,6/11/2007,Actual
,,,,,,Total Total Dissolved Solids,650,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Phosphorus,0.126,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Sulfate,32,mg/L,WCMP,6/11/2007,Actual
,,,,,,Dissolved Dissolved Solids,790,mg/l,WCTMP,5/9/2001,Calculated
,,,,,,Total Chloride,209,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.2,mg/l,WCTMP,5/9/2001
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.1,mg/l,WCTMP,5/9/2001
,,,,,,Total pH,7.9,,WCTMP,5/9/2001,Actual
,,,,,,Total Turbidity,8.8,mg/l,WCTMP,5/9/2001,Actual
,,,,,, Temperature, water,17.3,deg C,WCTMP,5/9/2001
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,215,mg/l
,,,,,,Total Calcium,90,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Mercury,2.04,ng/l,WCTMP,5/9/2001,Actual
,,,,,,Total Phosphorus,0.21,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.126,mg/l,WCTMP,5/9/2001
,,,,,,Total Specific conductivity,1223,umho/cm,WCTMP,5/9/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),12,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Zinc,12.6,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Chromium,1.21,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Copper,3.75,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Hardness, carbonate,335,mg/l,WCTMP,5/9/2001
,,,,,,Total Magnesium,26.8,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.066,mg/l,WCTMP,5/9/2001
,,,,,,Total Total Organic Carbon (TOC),8.3,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Cadmium,0.05,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Lead,1.82,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Nickel,6.41,ug/l,WCTMP,5/9/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.126,mg/l,WCTMP,5/9/2001
,,,,,,Total Sulfate (SO4) as SO4,45,mg/l,WCTMP,5/9/2001,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,179,mg/l
,,,,,,Total Cadmium,0.045,ug/l,WCTMP,5/7/2003,Actual
,,,,,,Total Nickel,4.06,ug/l,WCTMP,5/7/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.16,mg/l,WCTMP,5/7/2003
,,,,,,Total Sodium,94.2,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),8.3,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),28,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Calcium,79.1,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Chloride,176,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.037,mg/l,WCTMP,5/7/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.043,mg/l,WCTMP,5/7/2003
,,,,,,Total Sulfate (SO4) as SO4,48,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Dissolved Dissolved Solids,650,mg/l,WCTMP,5/7/2003,Calculated
,,,,,,Total Copper,4.01,ug/l,WCTMP,5/7/2003,Actual
,,,,,,Total Lead,1.61,ug/l,WCTMP,5/7/2003,Actual
,,,,,,Total Magnesium,21.7,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Phosphorus,0.117,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Specific conductivity,1001,umho/cm,WCTMP,5/7/2003,Actual
,,,,,,Total Zinc,9.85,ug/l,WCTMP,5/7/2003,Actual
,,,,,, Temperature, water,14.4,deg C,WCTMP,5/7/2003
,,,,,,Total Chromium,1.44,ug/l,WCTMP,5/7/2003,Actual
,,,,,,Total Hardness, carbonate,287,mg/l,WCTMP,5/7/2003
,,,,,,Total Mercury,4,ng/l,WCTMP,5/7/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.08,mg/l,WCTMP,5/7/2003
,,,,,,Total Nitrogen, Kjeldahl,1.1,mg/l,WCTMP,5/7/2003
,,,,,,Total pH,7.98,,WCTMP,5/7/2003,Actual
,,,,,,Total Potassium,4.8,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Turbidity,23,mg/l,WCTMP,5/7/2003,Actual
,,,,,,Total Temperature of Water,17.4,° C           ,WCMP,5/5/2010,Actual
,,,,,,Total Total Magnesium,18,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Nitrite,0.046,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Suspended Solids,31,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Chloride                                ,112,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Conductivity (Field),753,umhos/cm      ,WCMP,5/5/2010,Actual
,,,,,,Total Total Alkalinity,186,mg CaCO3/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.16,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.052,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Turbidity                               ,22,NTU           ,WCMP,5/5/2010,Actual
,,,,,,Total Conductivity (Lab),750,umhos/cm      ,WCMP,5/5/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.35,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Dissolved Solids,490,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Organic Carbon,8.4,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.131,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Potassium,3.9,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Sodium,58.8,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Sulfate,19,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),6.2,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Hardness Ca2CO3,240,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,5/5/2010,Actual
,,,,,,Total pH (Lab),7.99,pH            ,WCMP,5/5/2010,Actual
,,,,,,Total Total Ammonia,0.106,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Calcium,66.3,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Nitrate,1.3,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Conductivity (Lab),421,umhos/cm      ,WCMP,5/4/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),6.9,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Temperature of Water,17.7,° C           ,WCMP,5/4/2012,Actual
,,,,,,Total Total Organic Carbon,5.6,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Total Suspended Solids,6,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Turbidity,73,NTU           ,WCMP,5/4/2012,Actual
,,,,,,Total Hardness Ca2CO3,125,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total pH (Field),7.6,pH            ,WCMP,5/4/2012,Actual
,,,,,,Total Total Alkalinity,63,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Total Magnesium,9.1,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.278,mg P/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Sulfate,20,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Chloride                                ,68,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Conductivity (Field),391,umhos/cm      ,WCMP,5/4/2012,Actual
,,,,,,Total Total Ammonia,0.205,mg N/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Dissolved Solids,270,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Total Nitrate,0.58,mg N/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Nitrite,0.053,mg N/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Potassium,3.6,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.629,mg N/L        ,WCMP,5/4/2012,Actual
,,,,,,Total pH (Lab),7.54,pH            ,WCMP,5/4/2012,Actual
,,,,,,Total Total Calcium,35,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.55,mg N/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.102,mg P/L        ,WCMP,5/4/2012,Actual
,,,,,,Total Total Sodium,42,mg/L          ,WCMP,5/4/2012,Actual
,,,,,,Total Calcium,66.5,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Chromium,1.76,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Total Copper,3.4,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Total Hardness, carbonate,237,mg/l,WCTMP,5/3/2004
,,,,,,Total Nickel,4.67,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.114,mg/l,WCTMP,5/3/2004
,,,,,,Total pH,7.94,,WCTMP,5/3/2004,Actual
,,,,,,Total Sulfate (SO4) as SO4,45,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Turbidity,14,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Zinc,9.72,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Dissolved Dissolved Solids,680,mg/l,WCTMP,5/3/2004,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,142,mg/l
,,,,,,Total Lead,1.51,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.034,mg/l,WCTMP,5/3/2004
,,,,,,Total Specific conductivity,1053,umho/cm,WCTMP,5/3/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),20,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Cadmium,0.048,ug/l,WCTMP,5/3/2004,Actual
,,,,,,Total Chloride,208,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Magnesium,17.1,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Mercury,3.23,ng/l,WCTMP,5/3/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.16,mg/l,WCTMP,5/3/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.34,mg/l,WCTMP,5/3/2004
,,,,,,Total Phosphorus,0.124,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Sodium,113,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),7.8,mg/l,WCTMP,5/3/2004,Actual
,,,,,, Temperature, water,9.7,deg C,WCTMP,5/3/2004
,,,,,,Total Phosphorus, orthophosphate as P,0.034,mg/l,WCTMP,5/3/2004
,,,,,,Total Potassium,4.9,mg/l,WCTMP,5/3/2004,Actual
,,,,,,Total Conductivity (Field),1280,umhos/cm,WCMP,5/28/2008,Actual
,,,,,,Total Total Ammonia,0.189,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Nitrate,2.3,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Phosphorus,0.145,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Potassium,4.7,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,5/28/2008,Actual
,,,,,,Total Temperature of Water,15.3,C,WCMP,5/28/2008,Actual
,,,,,,Total Total Alkalinity,227,mg CaCO3/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Dissolved Solids,840,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Sodium,148,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Conductivity (Lab),1293,umhos/cm,WCMP,5/28/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),7.4,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.06,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Magnesium,25.9,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Nitrite,0.07,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Sulfate,48,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Turbidity,7.2,NTU,WCMP,5/28/2008,Actual
,,,,,,Total Hardness Ca2CO3,315,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total pH (Lab),8.09,pH,WCMP,5/28/2008,Actual
,,,,,,Total Total Calcium,83.5,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Organic Carbon,6.3,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.082,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Total Suspended Solids,14,mg/L,WCMP,5/28/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),6.5,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Ammonia,0.118,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Calcium,37.7,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.209,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Suspended Solids,82,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Chloride                                ,57,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Temperature of Water,15.6,° C           ,WCMP,5/26/2011,Actual
,,,,,,Total Total Alkalinity,96,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.088,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Sodium,34.6,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Conductivity (Lab),426,umhos/cm      ,WCMP,5/26/2011,Actual
,,,,,,Total Hardness Ca2CO3,134,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total pH (Lab),7.58,pH            ,WCMP,5/26/2011,Actual
,,,,,,Total Total Dissolved Solids,280,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Magnesium,9.7,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Nitrite,0.038,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Sulfate,10,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Turbidity                               ,59,NTU           ,WCMP,5/26/2011,Actual
,,,,,,Total Conductivity (Field),420,umhos/cm      ,WCMP,5/26/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.66,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,5/26/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.15,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Nitrate,0.62,mg/L,WCMP,5/26/2011,Actual
,,,,,,Total Total Organic Carbon,7.6,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,5/26/2011,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,198,mg/l,WCTMP,5/25/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,5/25/2005
,,,,,,Total Calcium,71.1,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Hardness, carbonate,267,mg/l,WCTMP,5/25/2005
,,,,,,Total Phosphorus,0.122,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Specific conductance,1037,umho/cm,WCTMP,5/25/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),7.3,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Dissolved Dissolved Solids,670,mg/l,WCTMP,5/25/2005,Calculated
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),198,mg/l,WCTMP,5/25/2005
,,,,,,Total Cadmium,0.032,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Chromium,0.597,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.17,mg/l,WCTMP,5/25/2005
,,,,,,Total Turbidity,12,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Chloride,190,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Lead,1.54,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Magnesium,21.6,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Mercury in Water,2.67,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.12,mg/l,WCTMP,5/25/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.36,mg/l,WCTMP,5/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,1.42,mg/l,WCTMP,5/25/2005
,,,,,,Total Sodium,104,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,29,mg/l,WCTMP,5/25/2005
,,,,,, Temperature, water,13.7,deg C,WCTMP,5/25/2005
,,,,,,Total Copper,2.28,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nickel,3.07,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.06,mg/l,WCTMP,5/25/2005
,,,,,,Total pH,7.98,,WCTMP,5/25/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.059,mg/l,WCTMP,5/25/2005
,,,,,,Total Potassium,4,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),15,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Zinc,7.49,ug/l,WCTMP,5/25/2005,Actual
,,,,,, Temperature, water,18.2,deg C,WCTMP,5/24/2004
,,,,,,Total Calcium,36.2,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Chloride,38,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Lead,18.2,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.126,mg/l,WCTMP,5/24/2004
,,,,,,Total Sodium,20.7,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),14,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),320,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Zinc,71.3,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Dissolved Dissolved Solids,230,mg/l,WCTMP,5/24/2004,Calculated
,,,,,,Total Chromium,14.6,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.054,mg/l,WCTMP,5/24/2004
,,,,,,Total Phosphorus,0.54,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.065,mg/l,WCTMP,5/24/2004
,,,,,,Total Cadmium,0.398,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Total Copper,13.9,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Total Hardness, carbonate,121,mg/l,WCTMP,5/24/2004
,,,,,,Total Magnesium,7.5,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Mercury,40.69,ng/l,WCTMP,5/24/2004,Actual
,,,,,,Total Nickel,12.7,ug/l,WCTMP,5/24/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.9,mg/l,WCTMP,5/24/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.97,mg/l,WCTMP,5/24/2004
,,,,,,Total pH,7.68,,WCTMP,5/24/2004,Actual
,,,,,,Total Potassium,5.2,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,75,mg/l
,,,,,,Total Specific conductivity,360,umho/cm,WCTMP,5/24/2004,Actual
,,,,,,Total Sulfate (SO4) as SO4,12,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Turbidity,310,mg/l,WCTMP,5/24/2004,Actual
,,,,,,Total Dissolved Oxygen (Field),5.9,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Sodium,94,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Suspended Solids,13,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Chloride                                ,150,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Conductivity (Field),1016,umhos/cm      ,WCMP,5/23/2012,Actual
,,,,,,Total pH (Field),8.1,pH            ,WCMP,5/23/2012,Actual
,,,,,,Total Total Calcium,77,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Dissolved Solids,710,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.81,mg N/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Magnesium,25,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.086,mg P/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.131,mg P/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Sulfate,40,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Turbidity,8.5,NTU           ,WCMP,5/23/2012,Actual
,,,,,,Total Conductivity (Lab),1087,umhos/cm      ,WCMP,5/23/2012,Actual
,,,,,,Total Total Nitrite,0.043,mg N/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Potassium,4.2,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Hardness Ca2CO3,295,mg/L          ,WCMP,5/23/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.88,mg N/L        ,WCMP,5/23/2012,Actual
,,,,,,Total pH (Lab),8.11,pH            ,WCMP,5/23/2012,Actual
,,,,,,Total Temperature of Water,18.6,° C           ,WCMP,5/23/2012,Actual
,,,,,,Total Total Ammonia,0.062,mg N/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Nitrate,1.84,mg N/L        ,WCMP,5/23/2012,Actual
,,,,,,Total Total Organic Carbon,6.5,mg/L          ,WCMP,5/23/2012,Actual
,,,,,, Temperature, water,16.6,deg C,WCTMP,5/23/2001
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,157,mg/l
,,,,,,Total Cadmium,0.14,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Calcium,57.8,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Lead,7.26,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Magnesium,15.2,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Nickel,6.96,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Turbidity,79,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Chromium,5.18,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Mercury,8.63,ng/l,WCTMP,5/23/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.046,mg/l,WCTMP,5/23/2001
,,,,,,Total pH,7.78,,WCTMP,5/23/2001,Actual
