Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Phosphorus,0.083,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Specific conductivity,430,umho/cm,WCTMP,8/20/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,20,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),17,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Cadmium,0.057,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Calcium,37.6,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Mercury,4.667,ng/l,WCTMP,8/20/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.136,mg/l,WCTMP,8/20/1998
,,,,,,Total Copper,3.518,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Lead,2.249,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,8/20/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.026,mg/l,WCTMP,8/20/1998
,,,,,,Total Total Organic Carbon (TOC),3.5,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Chloride,50,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Chromium,2.716,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.62,mg/l,WCTMP,8/20/1998
,,,,,,Total Zinc,10.66,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Conductivity (Field),827,umhos/cm      ,WCMP,8/2/2011,Actual
,,,,,,Total Conductivity (Lab),526,umhos/cm      ,WCMP,8/2/2011,Actual
,,,,,,Total Total Alkalinity,110,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Sodium,42.3,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Sulfate,29,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),5.3,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,8/2/2011,Actual
,,,,,,Total Total Magnesium,10,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Nitrate,0.54,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.045,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Total Suspended Solids,14,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Chloride                                ,74,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total pH (Lab),7.84,pH            ,WCMP,8/2/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.7,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Total Organic Carbon,4.3,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.093,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Hardness Ca2CO3,140,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.567,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Temperature of Water,29.1,° C           ,WCMP,8/2/2011,Actual
,,,,,,Total Total Ammonia,0.171,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Total Calcium,39.4,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Dissolved Solids,340,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Total Nitrite,0.022,mg/L,WCMP,8/2/2011,Actual
,,,,,,Total Total Potassium,6.4,mg/L          ,WCMP,8/2/2011,Actual
,,,,,,Total Turbidity                               ,12,NTU           ,WCMP,8/2/2011,Actual
,,,,,, Temperature, water,27.2,deg C,WCTMP,8/16/2001
,,,,,,Total Cadmium,0.06,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Calcium,29.9,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Chromium,1.79,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Hardness, carbonate,110,mg/l,WCTMP,8/16/2001
,,,,,,Total Mercury,4.72,ng/l,WCTMP,8/16/2001,Actual
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Phosphorus,0.07,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),2.9,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Zinc,12.7,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Chloride,37,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Copper,3.16,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Nickel,2.31,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.142,mg/l,WCTMP,8/16/2001
,,,,,,Total Nitrogen, Kjeldahl,0.4,mg/l,WCTMP,8/16/2001
,,,,,,Total pH,7.86,,WCTMP,8/16/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.026,mg/l,WCTMP,8/16/2001
,,,,,,Total Specific conductivity,339,umho/cm,WCTMP,8/16/2001,Actual
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),14,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Sulfate (SO4) as SO4,20,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Dissolved Dissolved Solids,220,mg/l,WCTMP,8/16/2001,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,73,mg/l
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Lead,2.85,ug/l,WCTMP,8/16/2001,Actual
,,,,,,Total Magnesium,8.6,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.52,mg/l,WCTMP,8/16/2001
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.019,mg/l,WCTMP,8/16/2001
,,,,,,Total Potassium,2.8,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Sodium,18.5,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Sulfide,0.02,mg/l,WCTMP,8/16/2001,Actual
,,,,,,Total Turbidity,13,mg/l,WCTMP,8/16/2001,Actual
,,,,,, Temperature, water,28.8,deg C,WCTMP,8/15/2005
,,,,,,Total Copper,2.19,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Magnesium,10.2,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Mercury in Water,2.32,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.027,mg/l,WCTMP,8/15/2005
,,,,,,Total pH,7.79,,WCTMP,8/15/2005,Actual
,,,,,,Total Specific conductance,516,umho/cm,WCTMP,8/15/2005,Actual
,,,,,,Total Turbidity,9.5,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Zinc,8.27,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Calcium,38.5,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Chromium,0.93,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Hardness, carbonate,138,mg/l,WCTMP,8/15/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.85,mg/l,WCTMP,8/15/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.88,mg/l,WCTMP,8/15/2005
,,,,,,Dissolved Dissolved Solids,340,mg/l,WCTMP,8/15/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,88,mg/l,WCTMP,8/15/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,8/15/2005
,,,,,,Total Lead,1.61,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.51,mg/l,WCTMP,8/15/2005
,,,,,,Total Phosphorus,0.09,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.047,mg/l,WCTMP,8/15/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,23,mg/l,WCTMP,8/15/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),88,mg/l,WCTMP,8/15/2005
,,,,,,Total Cadmium,0.039,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Chloride,77,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nickel,2.49,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.143,mg/l,WCTMP,8/15/2005
,,,,,,Total Potassium,6.4,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Sodium,39.4,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),3.2,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),10,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Conductivity (Lab),370,umhos/cm,WCMP,8/14/2007,Actual
,,,,,,Total Total Nitrite,0.015,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Sodium,22,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.34,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Nitrate,0.52,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Organic Carbon,2.8,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Phosphorus,0.056,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Sulfate,22,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Turbidity,13,NTU,WCMP,8/14/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),6.6,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Alkalinity,81,mg CaCO3/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Ammonia,0.079,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Dissolved Solids,240,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.028,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Conductivity (Field),421,umhos/cm,WCMP,8/14/2007,Actual
,,,,,,Total Hardness Ca2CO3,116,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,8/14/2007,Actual
,,,,,,Total pH (Lab),8.04,pH,WCMP,8/14/2007,Actual
,,,,,,Total Temperature of Water,27.3,C,WCMP,8/14/2007,Actual
,,,,,,Total Total Calcium,31.7,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Magnesium,9,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Potassium,4.1,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Suspended Solids,14,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Copper,5.029,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Hardness, carbonate,133,mg/l,WCTMP,8/12/1998
,,,,,,Total Mercury,14.942,ng/l,WCTMP,8/12/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.032,mg/l,WCTMP,8/12/1998
,,,,,,Total pH,7.67,,WCTMP,8/12/1998,Actual
,,,,,,Total Zinc,14.511,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Calcium,38.6,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Lead,3.312,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.2,mg/l,WCTMP,8/12/1998
,,,,,,Total Phosphorus,0.105,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,26,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),23,mg/l,WCTMP,8/12/1998,Actual
,,,,,, Temperature, water,26,deg C,WCTMP,8/12/1998
,,,,,,Total Cadmium,0.082,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Chromium,3.527,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Dissolved oxygen (DO),4.1,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Magnesium,8.9,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.84,mg/l,WCTMP,8/12/1998
,,,,,,Total Specific conductivity,470,umho/cm,WCTMP,8/12/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),6.6,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Dissolved Dissolved Solids,306,mg/l,WCTMP,8/12/1998,Calculated
,,,,,,Total Chloride,55,mg/l,WCTMP,8/12/1998,Actual
,,,,,,Total Nickel,4.412,ug/l,WCTMP,8/12/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.63,mg/l,WCTMP,8/12/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.042,mg/l,WCTMP,8/12/1998
,,,,,,Total Conductivity (Field),491,umhos/cm      ,WCMP,8/11/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),6.4,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,8/11/2010,Actual
,,,,,,Total pH (Lab),7.94,pH            ,WCMP,8/11/2010,Actual
,,,,,,Total Total Alkalinity,92,mg CaCO3/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Potassium,6.5,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Chloride                                ,68,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Hardness Ca2CO3,139,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Ammonia,0.26,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Magnesium,10.2,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Nitrite,0.02,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Organic Carbon,2.7,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.039,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.076,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Suspended Solids,11,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.7,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Temperature of Water,28.6,° C           ,WCMP,8/11/2010,Actual
,,,,,,Total Total Calcium,38.8,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Dissolved Solids,310,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Turbidity                               ,10,NTU           ,WCMP,8/11/2010,Actual
,,,,,,Total Conductivity (Lab),479,umhos/cm      ,WCMP,8/11/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.63,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Nitrate,0.68,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Sodium,34.8,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Sulfate,23,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Temperature of Water,27,C,WCMP,7/31/2008,Actual
,,,,,,Total Total Dissolved Solids,280,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Magnesium,9.3,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Nitrite,0.014,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Conductivity (Lab),430,umhos/cm,WCMP,7/31/2008,Actual
,,,,,,Total pH (Field),7.4,pH,WCMP,7/31/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.44,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Sodium,28.4,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Sulfate,23,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Suspended Solids,29,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Conductivity (Field),420,umhos/cm,WCMP,7/31/2008,Actual
,,,,,,Total pH (Lab),8.01,pH,WCMP,7/31/2008,Actual
,,,,,,Total Total Calcium,34.9,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Organic Carbon,2.6,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.024,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Turbidity,24,NTU,WCMP,7/31/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),6.3,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Hardness Ca2CO3,126,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Alkalinity,82,mg CaCO3/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Ammonia,0.127,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Nitrate,0.6,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Phosphorus,0.089,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Total Potassium,6.1,mg/L,WCMP,7/31/2008,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.95,mg/l,WCTMP,7/31/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.56,mg/l,WCTMP,7/31/2000
,,,,,,Total Phosphorus, orthophosphate as P,0.071,mg/l,WCTMP,7/31/2000
,,,,,,Total Sodium,32.2,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Specific conductivity,430,umho/cm,WCTMP,7/31/2000,Actual
,,,,,,Total Total Organic Carbon (TOC),9.5,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Dissolved Dissolved Solids,280,mg/l,WCTMP,7/31/2000,Calculated
,,,,,,Total Cadmium,0.08,ug/l,WCTMP,7/31/2000,Actual
,,,,,,Total Calcium,34,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.22,mg/l,WCTMP,7/31/2000
,,,,,,Total pH,7.65,,WCTMP,7/31/2000,Actual
,,,,,,Total Potassium,4.8,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),40,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Turbidity,42,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,69,mg/l
,,,,,,Total Hardness, carbonate,115,mg/l,WCTMP,7/31/2000
,,,,,,Total Lead,4.36,ug/l,WCTMP,7/31/2000,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.057,mg/l,WCTMP,7/31/2000
,,,,,,Total Phosphorus,0.16,mg/l,WCTMP,7/31/2000,Actual
,,,,,, Temperature, water,22.1,deg C,WCTMP,7/31/2000
,,,,,,Total Chloride,63,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Chromium,2.99,ug/l,WCTMP,7/31/2000,Actual
,,,,,,Total Copper,5.7,ug/l,WCTMP,7/31/2000,Actual
,,,,,,Total Magnesium,11.5,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Mercury,7.73,ng/l,WCTMP,7/31/2000,Actual
,,,,,,Total Nickel,3.88,ug/l,WCTMP,7/31/2000,Actual
,,,,,,Total Sulfate (SO4) as SO4,21,mg/l,WCTMP,7/31/2000,Actual
,,,,,,Total Zinc,22.9,ug/l,WCTMP,7/31/2000,Actual
,,,,,, Temperature, water,28.1,deg C,WCTMP,7/29/1998
,,,,,,Total Calcium,30.5,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Nickel,2.329,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.37,mg/l,WCTMP,7/29/1998
,,,,,,Total pH,7.97,,WCTMP,7/29/1998,Actual
,,,,,,Total Specific conductivity,344,umho/cm,WCTMP,7/29/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),2.7,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),8,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Dissolved Dissolved Solids,224,mg/l,WCTMP,7/29/1998,Calculated
,,,,,,Total Chloride,34,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Hardness, carbonate,112,mg/l,WCTMP,7/29/1998
,,,,,,Total Magnesium,8.7,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Mercury,3.177,ng/l,WCTMP,7/29/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.071,mg/l,WCTMP,7/29/1998
,,,,,,Total Phosphorus,0.051,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Cadmium,0.042,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.42,mg/l,WCTMP,7/29/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.017,mg/l,WCTMP,7/29/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.017,mg/l,WCTMP,7/29/1998
,,,,,,Total Zinc,6.765,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Chromium,1.482,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Copper,2.645,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Lead,1.358,ug/l,WCTMP,7/29/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,18,mg/l,WCTMP,7/29/1998,Actual
,,,,,,Total Cadmium,0.06,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Chlordane,0,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Chromium,1.92,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total DDT,0,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Hardness, carbonate,146,mg/l,WCTMP,7/27/2000
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-118,1.291674,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-135/144,0.621819,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-137/176,0.049133,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-141,0.583444,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-16/32,3.377857,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-178,0.324921,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-180,2.256511,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-201,0.937569,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-206,0.183768,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-4/10,0.64281,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-45,0.472034,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-51,0.135053,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-56+60,1.697706,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-70/76,1.983846,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-77/110,2.511875,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-84/92,2.140786,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-87,0.760908,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-97,0.545497,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.03,mg/l,WCTMP,7/27/2000
,,,,,,Total Specific conductivity,504,umho/cm,WCTMP,7/27/2000,Actual
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Zinc,12.2,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Magnesium,10.2,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Nickel,2.61,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.56,mg/l,WCTMP,7/27/2000
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.013,mg/l,WCTMP,7/27/2000
,,,,,,Total Pcb-101,1.781633,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-128,0.30561,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-146,0.508656,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-15/17,1.175963,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-171/202,0.264076,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-185,0.120125,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-19,0.127905,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-193,0.218756,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-196/203,1.067593,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-25,0.507547,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-26,0.31691,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-37/42,2.607711,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-44,2.035317,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-47/48,1.307241,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-53,0.38946,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-74,0.905863,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-82,0.239958,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-95,1.715013,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),75.127586,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Sodium,33,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Sulfate (SO4) as SO4,24,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Total Organic Carbon (TOC),2.9,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Turbidity,16,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Calcium,41.8,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.13,mg/l,WCTMP,7/27/2000
,,,,,,Total Pcb-123/149,1.682898,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-136,0.1235,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-158,0.436413,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-172,0.274215,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-18,1.049181,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-182/187,1.082598,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-198,0.027052,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-28/31,5.521227,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-40,0.603888,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-41/64/71,2.210991,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-49,1.367118,ng/l,WCTMP,7/27/2000,Actual
