#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 14 22 50  63  4.3  5.3  0.72  5.00  3.93 302 1017.6   5.6   3.4 999.0 99.0 99.00
2009 05 14 23 50  88  3.9  4.6  0.65  4.55  4.03 305 1018.8   5.2   3.4 999.0 99.0 99.00
2009 05 15 00 50  91  4.0  4.5  0.37  4.76  4.10 300 1019.5   5.2   3.4 999.0 99.0 99.00
2009 05 15 01 50 110  3.0  3.3  0.35  4.76  4.19 310 1020.6   4.5   3.4 999.0 99.0 99.00
2009 05 15 02 50  99  3.0  3.4  0.39  4.55  4.01 311 1021.2   4.8   3.3 999.0 99.0 99.00
2009 05 15 03 50 139  2.3  2.7  0.34  5.26  4.19 347 1021.9   4.3   3.3 999.0 99.0 99.00
2009 05 15 04 50 149  3.5  4.4  0.33  4.76  4.27 346 1022.0   4.7   3.3 999.0 99.0 99.00
2009 05 15 05 50 157  3.9  4.2  0.32  5.00  4.14 345 1022.4   5.0   3.3 999.0 99.0 99.00
2009 05 15 06 50 165  4.4  4.8  0.29  5.00  4.06 348 1022.7   5.1   3.2 999.0 99.0 99.00
2009 05 15 07 50 183  3.7  4.2  0.24 99.00  3.96 999 1023.4   5.0   3.2 999.0 99.0 99.00
2009 05 15 08 50  51  1.1  2.7  0.22 99.00  3.78 999 1024.0   5.0   3.2 999.0 99.0 99.00
2009 05 15 09 50  90  2.1  3.0  0.20 99.00  3.57 999 1024.6   7.5   3.2 999.0 99.0 99.00
2009 05 15 10 50  52  2.2  2.7  0.21 99.00  3.44 999 1025.3   4.1   3.2 999.0 99.0 99.00
2009 05 15 11 50  98  2.4  2.6  0.19 99.00  3.28 999 1026.1   4.3   3.3 999.0 99.0 99.00
2009 05 15 12 50  60  1.3  1.5  0.20 99.00  3.41 999 1027.0   4.6   3.5 999.0 99.0 99.00
2009 05 15 13 50  90  2.7  2.9  0.17 99.00  3.08 999 1026.9   4.8   3.4 999.0 99.0 99.00
2009 05 15 14 50  84  3.6  4.3  0.16 99.00  2.89 999 1026.0   5.1   3.3 999.0 99.0 99.00
2009 05 15 15 50  99  3.8  4.2  0.14 99.00  2.93 999 1025.6   5.0   3.3 999.0 99.0 99.00
2009 05 15 16 50  89  3.1  3.5  0.14 99.00  3.17 999 1025.4   5.0   3.3 999.0 99.0 99.00
2009 05 15 17 50  82  3.9  4.3  0.10 99.00  2.87 999 1024.4   5.5   3.2 999.0 99.0 99.00
2009 05 15 18 50  61  2.2  2.4  0.10 99.00  2.85 999 1023.4   5.6   3.3 999.0 99.0 99.00
2009 05 15 19 50  93  2.9  3.2  0.08 99.00  2.90 999 1023.0   5.7   3.3 999.0 99.0 99.00
2009 05 15 20 50 101  2.9  3.2  0.07 99.00  2.76 999 1022.4   6.4   3.2 999.0 99.0 99.00
2009 05 15 21 50  96  4.4  4.9  0.07 99.00  2.88 999 1021.5   6.7   3.2 999.0 99.0 99.00
2009 05 15 22 50  90  2.7  3.0  0.05 99.00  3.44 999 1020.9   6.3   3.2 999.0 99.0 99.00
2009 05 15 23 50 101  3.9  4.3  0.05 99.00  2.69 999 1019.7   6.3   3.1 999.0 99.0 99.00
2009 05 16 00 50  99  4.7  6.0  0.05 99.00  2.73 999 1019.1   5.7   3.1 999.0 99.0 99.00
2009 05 16 01 50 122  5.2  5.9  0.07 99.00  2.84 999 1018.0   7.3   3.1 999.0 99.0 99.00
2009 05 16 02 50 122  4.7  6.0  0.12 99.00  3.49 999 1017.6   8.4   3.1 999.0 99.0 99.00
2009 05 16 03 50 126  3.4  3.8  0.08 99.00  2.50 999 1017.0   6.8   3.1 999.0 99.0 99.00
2009 05 16 04 50 140  4.7  5.0  0.10 99.00  2.43 999 1015.3   6.7   3.1 999.0 99.0 99.00
2009 05 16 05 50 115  4.3  4.7  0.12 99.00  2.41 999 1013.6   6.7   3.1 999.0 99.0 99.00
2009 05 16 06 50 147  6.8  8.3  0.09 99.00  2.50 999 1012.1   7.1   3.2 999.0 99.0 99.00
2009 05 16 07 50 128  7.8  8.9  0.34  2.60  2.83 157 1010.3   6.7   3.2 999.0 99.0 99.00
2009 05 16 08 50 136  7.3  9.0  0.62  4.00  3.41 191 1009.0   6.7   3.2 999.0 99.0 99.00
2009 05 16 09 50 134  8.3  9.6  0.82  4.17  3.69 166 1006.4   6.8   3.2 999.0 99.0 99.00
2009 05 16 10 50 167  6.6  7.4  0.75  4.35  3.68 169 1006.9   6.1   3.2 999.0 99.0 99.00
