,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
80,2007-07-23,0.135,MILLIGRAM PER LITER,0.0088,MILLIGRAM PER LITER,,,,,0.05,MILLIGRAM PER LITER,0.94,MILLIGRAM PER LITER,0.394,MILLIGRAM PER LITER,,,113.0,MILLIGRAM PER LITER
81,2006-07-12,0.172,MILLIGRAM PER LITER,0.0432,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,0.66,MILLIGRAM PER LITER,,,38.7,MILLIGRAM PER LITER
82,2006-08-29,0.144,MILLIGRAM PER LITER,0.0314,MILLIGRAM PER LITER,,,,,0.027,MILLIGRAM PER LITER,0.76,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,,,42.8,MILLIGRAM PER LITER
83,2006-11-15,0.067,MILLIGRAM PER LITER,0.0353,MILLIGRAM PER LITER,,,,,0.029,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,1.47,MILLIGRAM PER LITER,,,166.0,MILLIGRAM PER LITER
84,2005-04-29,0.073,MILLIGRAM PER LITER,0.009,MILLIGRAM PER LITER,,,,,0.041,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,1.39,MILLIGRAM PER LITER,,,234.0,MILLIGRAM PER LITER
85,2005-05-17,0.096,MILLIGRAM PER LITER,0.0159,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,1.04,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,,,220.0,MILLIGRAM PER LITER
86,2005-07-20,0.107,MILLIGRAM PER LITER,0.0328,MILLIGRAM PER LITER,,,,,0.091,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,0.542,MILLIGRAM PER LITER,,,82.4,MILLIGRAM PER LITER
87,2005-08-16,0.128,MILLIGRAM PER LITER,0.0103,MILLIGRAM PER LITER,,,,,0.103,MILLIGRAM PER LITER,1.42,MILLIGRAM PER LITER,0.837,MILLIGRAM PER LITER,,,115.0,MILLIGRAM PER LITER
88,2005-09-27,0.126,MILLIGRAM PER LITER,0.032,MILLIGRAM PER LITER,,,,,0.048,MILLIGRAM PER LITER,0.95,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,,,83.2,MILLIGRAM PER LITER
89,2005-10-18,0.05,MILLIGRAM PER LITER,0.0186,MILLIGRAM PER LITER,,,,,0.049,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,0.867,MILLIGRAM PER LITER,,,125.0,MILLIGRAM PER LITER
90,2005-11-22,0.068,MILLIGRAM PER LITER,0.0142,MILLIGRAM PER LITER,,,,,0.047,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,1.12,MILLIGRAM PER LITER,,,143.0,MILLIGRAM PER LITER
91,2004-04-29,0.151,MILLIGRAM PER LITER,0.0199,MILLIGRAM PER LITER,,,,,0.037,MILLIGRAM PER LITER,1.09,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,,,279.0,MILLIGRAM PER LITER
92,2004-05-25,0.12,MILLIGRAM PER LITER,0.044,MILLIGRAM PER LITER,,,,,0.049,MILLIGRAM PER LITER,1.14,MILLIGRAM PER LITER,2.3,MILLIGRAM PER LITER,,,142.0,MILLIGRAM PER LITER
93,2004-06-22,0.127,MILLIGRAM PER LITER,0.0239,MILLIGRAM PER LITER,,,,,0.081,MILLIGRAM PER LITER,1.02,MILLIGRAM PER LITER,1.49,MILLIGRAM PER LITER,,,194.0,MILLIGRAM PER LITER
