#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 20 17 00 340  3.1  5.7 99.00 99.00 99.00 999 9999.0  10.7 999.0 999.0 99.0 99.00
2012 10 20 18 00 340  2.6  5.7 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2012 10 20 19 00 350  2.6  6.2 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2012 10 20 20 00 350  3.1  5.1 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 20 21 00 330  3.1  5.1 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2012 10 20 22 00 330  2.6  4.1 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2012 10 20 23 00 300  2.1  3.6 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 21 00 00 290  1.5  2.6 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2012 10 21 01 00 280  2.6  4.1 99.00 99.00 99.00 999 9999.0   9.7 999.0 999.0 99.0 99.00
2012 10 21 02 00 280  4.6  7.2 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 21 03 00 290  3.1  5.1 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2012 10 21 04 00 280  4.6  6.7 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2012 10 21 05 00 280  5.1  7.2 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2012 10 21 06 00 280  6.2  8.2 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2012 10 21 07 00 280  5.7  7.7 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2012 10 21 08 00 280  4.6  7.7 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2012 10 21 09 00 290  4.6  7.7 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2012 10 21 10 00 280  6.2  8.8 99.00 99.00 99.00 999 9999.0   8.0 999.0 999.0 99.0 99.00
2012 10 21 11 00 280  5.1  6.7 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2012 10 21 12 00 270  5.7  7.2 99.00 99.00 99.00 999 9999.0   7.5 999.0 999.0 99.0 99.00
2012 10 21 13 00 270  4.6  6.2 99.00 99.00 99.00 999 9999.0   7.8 999.0 999.0 99.0 99.00
2012 10 21 14 15 270  6.2  7.7 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2012 10 21 15 00 260  5.1  6.7 99.00 99.00 99.00 999 9999.0   9.6 999.0 999.0 99.0 99.00
2012 10 21 16 00 260  6.2  7.7 99.00 99.00 99.00 999 9999.0  10.3 999.0 999.0 99.0 99.00
2012 10 21 17 00 250  4.1  4.6 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2012 10 21 18 00 280  3.6  5.1 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2012 10 21 19 00 220  2.6  3.1 99.00 99.00 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
2012 10 21 20 00 180  4.1  4.6 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2012 10 21 21 00 180  3.6  4.6 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 21 22 00  90  1.5  2.1 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 21 23 00 100  1.5  2.1 99.00 99.00 99.00 999 9999.0  10.7 999.0 999.0 99.0 99.00
2012 10 22 00 00 110  1.5  2.1 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2012 10 22 01 00  90  0.5  0.5 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2012 10 22 02 00  80  1.0  1.5 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2012 10 22 03 00  80  1.5  1.5 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2012 10 22 04 00 120  0.5  1.0 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 22 05 00 270  1.5  2.1 99.00 99.00 99.00 999 9999.0   9.7 999.0 999.0 99.0 99.00
2012 10 22 06 00 250  1.0  1.5 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 22 07 00 230  1.0  1.5 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2012 10 22 08 00 250  1.5  2.1 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2012 10 22 09 00 230  1.0  1.0 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2012 10 22 10 00 210  1.0  1.5 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2012 10 22 11 00 190  1.5  1.5 99.00 99.00 99.00 999 9999.0   9.7 999.0 999.0 99.0 99.00
2012 10 22 12 00 180  3.1  3.6 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2012 10 22 13 00 170  3.1  3.6 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 22 14 15 190  4.6  5.7 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 22 15 00 200  3.1  4.1 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 22 16 00 170  3.6  4.1 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 22 17 00 150  2.6  3.6 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2012 10 22 18 00 160  3.6  4.1 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2012 10 22 19 00 150  4.6  5.1 99.00 99.00 99.00 999 9999.0  12.2 999.0 999.0 99.0 99.00
