Date,"Discharge, cu feet per s"
 2015-11-07,215000
 2015-11-08,204000
 2015-11-09,201000
 2015-11-10,213000
 2015-11-11,206000
 2015-11-12,198000
 2015-11-13,223000
 2015-11-14,206000
 2015-11-15,206000
 2015-11-16,204000
 2015-11-17,196000
 2015-11-18,194000
 2015-11-19,195000
 2015-11-20,210000
 2015-11-21,208000
 2015-11-22,220000
 2015-11-23,206000
 2015-11-24,211000
 2015-11-25,201000
 2015-11-26,198000
 2015-11-27,210000
 2015-11-28,210000
 2015-11-29,213000
 2015-11-30,216000
 2015-12-01,216000
 2015-12-02,214000
 2015-12-03,214000
 2015-12-04,205000
 2015-12-05,204000
 2015-12-06,205000
 2015-12-07,205000
 2015-12-08,202000
 2015-12-09,202000
 2015-12-10,200000
 2015-12-11,205000
 2015-12-12,204000
 2015-12-13,206000
 2015-12-14,202000
 2015-12-15,215000
 2015-12-16,201000
 2015-12-17,208000
 2015-12-18,211000
 2015-12-19,217000
 2015-12-20,194000
 2015-12-21,204000
 2015-12-22,208000
 2015-12-23,200000
 2015-12-24,203000
 2015-12-25,214000
 2015-12-26,210000
" 2015-12-27	224000	P",
